technology_selection_approach,basket_name,technology,number_poi,fiber_length,pp_coo,pp_coo_per_poi,pp_capex,init_capex,an_opex,init_capex_per_poi,an_opex_per_poi,estimate,max_dist_km
ranking,technology_12km,fiber,100,131.087385,2737137.9760000007,27371.379760000007,1353568.9880000001,1203568.9880000001,138356.89880000002,12035.689880000002,1383.5689880000002,central,12
ranking,technology_12km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,12
ranking,technology_12km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,12
ranking,technology_12km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,12
ranking,technology_13km,fiber,100,131.087385,2737137.9760000007,27371.379760000007,1353568.9880000001,1203568.9880000001,138356.89880000002,12035.689880000002,1383.5689880000002,central,13
ranking,technology_13km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,13
ranking,technology_13km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,13
ranking,technology_13km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,13
ranking,technology_14km,fiber,100,131.087385,2737137.9760000007,27371.379760000007,1353568.9880000001,1203568.9880000001,138356.89880000002,12035.689880000002,1383.5689880000002,central,14
ranking,technology_14km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,14
ranking,technology_14km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,14
ranking,technology_14km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,14
ranking,technology_15km,fiber,100,131.087385,2737137.9760000007,27371.379760000007,1353568.9880000001,1203568.9880000001,138356.89880000002,12035.689880000002,1383.5689880000002,central,15
ranking,technology_15km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,15
ranking,technology_15km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,15
ranking,technology_15km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central,15
ranking,technology_1km,fiber,19,11.779834,246859.942032,12992.628528,127496.28528,101846.28528,11936.3656752,5360.330804210526,628.2297723789474,lower bound,1
ranking,technology_1km,p2mp,6,,2116.8,352.8,1728.0,432.0,38.88,72.0,6.48,lower bound,1
ranking,technology_1km,p2p,65,,1152608.37354,17732.436516,496944.04500000004,341148.015,65566.432854,5248.4310000000005,1008.7143516,lower bound,1
ranking,technology_1km,satellite,10,,90720.0,9072.0,81000.0,27000.0,972.0000000000001,2700.0,97.20000000000002,lower bound,1
ranking,technology_2km,fiber,71,74.26306399999999,1377583.587072,19402.58573340845,715963.46688,620113.46688,66162.0120192,8733.992491267605,931.8593242140845,lower bound,2
ranking,technology_2km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,2
ranking,technology_2km,p2p,23,,407846.03986799996,17732.436515999998,175841.739,120713.913,23200.4300868,5248.431,1008.7143516,lower bound,2
ranking,technology_2km,satellite,6,,54432.0,9072.0,48600.0,16200.0,583.2,2700.0,97.2,lower bound,2
ranking,technology_3km,fiber,96,122.087602,2188822.234896,22800.2316135,1139733.80784,1010133.80784,104908.84270560002,10522.227165,1092.8004448500003,lower bound,3
ranking,technology_3km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,3
ranking,technology_3km,p2p,3,,53197.309548,17732.436515999998,22935.879,15745.293,3026.1430548,5248.431,1008.7143516,lower bound,3
ranking,technology_3km,satellite,1,,9072.0,9072.0,8100.0,2700.0,97.20000000000002,2700.0,97.20000000000002,lower bound,3
ranking,technology_4km,fiber,100,131.087385,2338902.9694800004,23389.029694800003,1218212.0892000003,1083212.0892000003,112069.08802800004,10832.120892000003,1120.6908802800003,lower bound,4
ranking,technology_4km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,4
ranking,technology_4km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,4
ranking,technology_4km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,4
ranking,technology_5km,fiber,100,131.087385,2338902.9694800004,23389.029694800003,1218212.0892000003,1083212.0892000003,112069.08802800004,10832.120892000003,1120.6908802800003,lower bound,5
ranking,technology_5km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,5
ranking,technology_5km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,5
ranking,technology_5km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,5
ranking,technology_6km,fiber,100,131.087385,2338902.9694800004,23389.029694800003,1218212.0892000003,1083212.0892000003,112069.08802800004,10832.120892000003,1120.6908802800003,lower bound,6
ranking,technology_6km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,6
ranking,technology_6km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,6
ranking,technology_6km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,6
ranking,technology_7km,fiber,100,131.087385,2338902.9694800004,23389.029694800003,1218212.0892000003,1083212.0892000003,112069.08802800004,10832.120892000003,1120.6908802800003,lower bound,7
ranking,technology_7km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,7
ranking,technology_7km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,7
ranking,technology_7km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,7
ranking,technology_8km,fiber,100,131.087385,2338902.9694800004,23389.029694800003,1218212.0892000003,1083212.0892000003,112069.08802800004,10832.120892000003,1120.6908802800003,lower bound,8
ranking,technology_8km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,8
ranking,technology_8km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,8
ranking,technology_8km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,8
ranking,technology_9km,fiber,100,131.087385,2338902.9694800004,23389.029694800003,1218212.0892000003,1083212.0892000003,112069.08802800004,10832.120892000003,1120.6908802800003,lower bound,9
ranking,technology_9km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,9
ranking,technology_9km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,9
ranking,technology_9km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,9
ranking,technology_10km,fiber,100,131.087385,2338902.9694800004,23389.029694800003,1218212.0892000003,1083212.0892000003,112069.08802800004,10832.120892000003,1120.6908802800003,lower bound,10
ranking,technology_10km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,10
ranking,technology_10km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,10
ranking,technology_10km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,10
ranking,technology_11km,fiber,100,131.087385,2338902.9694800004,23389.029694800003,1218212.0892000003,1083212.0892000003,112069.08802800004,10832.120892000003,1120.6908802800003,lower bound,11
ranking,technology_11km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,11
ranking,technology_11km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,11
ranking,technology_11km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,11
ranking,technology_12km,fiber,100,131.087385,2338902.9694800004,23389.029694800003,1218212.0892000003,1083212.0892000003,112069.08802800004,10832.120892000003,1120.6908802800003,lower bound,12
ranking,technology_12km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,12
ranking,technology_12km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,12
ranking,technology_12km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,12
ranking,technology_13km,fiber,100,131.087385,2338902.9694800004,23389.029694800003,1218212.0892000003,1083212.0892000003,112069.08802800004,10832.120892000003,1120.6908802800003,lower bound,13
ranking,technology_13km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,13
ranking,technology_13km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,13
ranking,technology_13km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,13
