poi_id,closest_node_id,closest_node_distance,connected_node_id,connected_node_distance,fiber_path,upstream_node_id,upstream_node_distance
7a4e4050-b3db-43ab-b487-a7df597ea8ce,4c378326-6260-476a-bf24-8862b7ada7e0,4142.658,99fbad83-671b-47b4-9241-af3aa1e160ce,11755.916999999998,"['99fbad83-671b-47b4-9241-af3aa1e160ce', '8212c26b-ccf0-4c70-8c8b-0bd759f2cbff', '1f8a8a01-714b-40f2-b55d-fbcb916dd75f', 'ef55a242-71c2-4895-9d7f-7cc87011cc24', '1e1ce347-2c9a-42a9-8cad-29811f0a9f8e', '5529ea39-d40f-4c80-a308-07fe2fb85cfa', 'e34166df-938f-4a6a-8297-8e62472c190a', 'd37197f2-d992-4674-a45f-4edfec32eb68']",d37197f2-d992-4674-a45f-4edfec32eb68,994.085
35e45aa4-2e7b-47e3-8157-7f6caa51b3f2,f1258afa-9fe6-46f8-89a4-75826b810986,7295.537,f1258afa-9fe6-46f8-89a4-75826b810986,8420.615,"['f1258afa-9fe6-46f8-89a4-75826b810986', '04da0ba1-3b87-4a8e-bb66-72ac9a19f1cd', 'ef6eb534-04e9-4265-bc5b-1543f3452634', 'b4129fb7-6eff-4f64-9302-d56ca0ffd434']",b4129fb7-6eff-4f64-9302-d56ca0ffd434,2304.758
e568a45b-e0bc-49cd-82c0-a64c1da4fb0e,541c5949-ab47-4a42-83df-2f5653718d5a,4625.273,541c5949-ab47-4a42-83df-2f5653718d5a,6376.0819999999985,"['541c5949-ab47-4a42-83df-2f5653718d5a', 'ba2f6994-38f1-4619-a7ee-4c6569749c21', '0b373675-de87-476b-9262-a0f7d9fe97c7', '775b863e-688e-45e8-b12e-956a3144bd35', '9197581a-d64d-40ee-964b-f6c1822fd28f', '292f0d20-f275-44f5-a40f-cf0e80c3a067']",292f0d20-f275-44f5-a40f-cf0e80c3a067,1201.024
8dc18b71-d2aa-4396-aed1-3918a7c78302,f137ce08-41d0-4cb7-906f-50874f75fd80,932.495,f137ce08-41d0-4cb7-906f-50874f75fd80,932.495,['f137ce08-41d0-4cb7-906f-50874f75fd80'],f137ce08-41d0-4cb7-906f-50874f75fd80,932.495
f1de709c-0da1-4ea3-b1d7-7cb3336246b3,4c378326-6260-476a-bf24-8862b7ada7e0,1729.591,a6463bd7-3a3e-419a-9cf5-5de7f4d23110,5863.992,"['a6463bd7-3a3e-419a-9cf5-5de7f4d23110', 'd4e50261-9303-4b9b-8f52-ed9d7903dd58', 'cda6e0d7-8641-4943-94e7-997c3a504b43', 'f5d03633-ba23-4de9-80ea-e5ae1b82acfa', 'ae0ccc6e-5f91-4a58-a60b-68e8ebcdc797', 'c571aaff-74e9-41d4-8e51-e0aab8fffe1f']",c571aaff-74e9-41d4-8e51-e0aab8fffe1f,851.219
23dd6a45-3656-435b-b3b1-c16efab9daeb,f3a93c78-b5be-4486-882f-d2b2f50e6f21,2559.392,4267fc81-0e9f-40ca-84c8-84529958dc22,5102.6669999999995,"['4267fc81-0e9f-40ca-84c8-84529958dc22', 'a877cb39-2290-48c3-b6a6-0f4feaf0146a', '96f84def-7438-4e29-b45b-3368a83544ca', '4bb7174d-f3a5-485b-bd5d-423a370c713d']",4bb7174d-f3a5-485b-bd5d-423a370c713d,1997.525
d56c4db0-7934-4d78-a43e-f606e2ebe9d2,297568af-379d-4dab-badd-4ba76e48d900,2765.274,297568af-379d-4dab-badd-4ba76e48d900,2765.274,['297568af-379d-4dab-badd-4ba76e48d900'],297568af-379d-4dab-badd-4ba76e48d900,2765.274
f4757abf-5db7-4f0e-a7cc-0c437012a72e,ff8e3dfc-15b8-44e4-b972-8fd7bf356f8d,1423.833,ff8e3dfc-15b8-44e4-b972-8fd7bf356f8d,1568.406,"['ff8e3dfc-15b8-44e4-b972-8fd7bf356f8d', 'd3a1fe88-51a0-4558-a376-5c614106e50b', '9b09549f-3f66-4a26-beda-db793cd49363']",9b09549f-3f66-4a26-beda-db793cd49363,277.329
80995085-677e-40c5-a7eb-3e6be9c04193,6551b0b5-d6b9-4172-8b26-7bdabb4479d2,1303.294,6551b0b5-d6b9-4172-8b26-7bdabb4479d2,1303.294,['6551b0b5-d6b9-4172-8b26-7bdabb4479d2'],6551b0b5-d6b9-4172-8b26-7bdabb4479d2,1303.294
955bca73-4483-45af-ae38-adddd0751bf7,541c5949-ab47-4a42-83df-2f5653718d5a,3076.747,541c5949-ab47-4a42-83df-2f5653718d5a,3098.9089999999997,"['541c5949-ab47-4a42-83df-2f5653718d5a', 'ba2f6994-38f1-4619-a7ee-4c6569749c21']",ba2f6994-38f1-4619-a7ee-4c6569749c21,1703.232
